from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts;route_type
239;242;209;58.46153846153846;39;302:39;3
239;246;158;60.0;37;302:37;3
240;184;285;120.0;61;270:61;3
240;201;420;60.0;62;270:62;3
240;183;754;60.0;41;145:41;3
240;231;672;60.0;43;145:43;3
241;243;268;57.69230769230769;52;17:52;3
241;245;323;14.117647058823529;51;17:51;3
242;223;347;1.5384615384615385;39;302:39;3
242;239;209;60.0;37;302:37;3
243;241;268;45.88235294117647;51;17:51;3
243;234;456;60.0;52;17:52;3
243;1887;3420;300.0;30;29:30;3
244;204;672;60.0;61;270:61;3
244;1436;1039;120.0;62;270:62;3
245;241;323;48.46153846153846;52;17:52;3
245;238;327;60.0;51;17:51;3
246;229;295;120.0;37;302:37;3
246;239;158;60.0;1;302:1;3
247;215;106;108.0;50;4:50;3
250;1880;742;60.0;5;62:5;3
250;1712;557;60.0;3;62:3;3
251;257;407;102.85714285714286;70;13:14,181:56;3
251;341;494;106.56716417910448;67;152:9,181:58;3
251;337;114;60.0;55;152:55;3
252;1350;648;420.0;1;230:1;3
252;343;557;120.0;38;95:38;3
252;1513;1255;180.0;32;253:32;3
252;1339;280;160.6451612903226;93;17:41,4:52;3
252;317;511;60.0;27;253:27;3
252;254;305;113.125;96;17:42,4:51,230:3;3
253;260;163;60.0;38;95:38;3
253;342;288;60.0;38;95:38;3
254;303;258;0.0;93;17:42,4:51;3
254;252;305;60.0;94;17:41,4:52,230:1;3
254;271;749;300.0;3;230:3;3
255;586;312;77.83783783783784;148;13:42,14:52,37:54;3
255;339;330;60.0;147;13:42,14:52,37:53;3
256;586;267;94.28571428571429;147;13:42,14:52,37:53;3
256;598;226;60.0;148;13:42,14:52,37:54;3
257;280;290;55.02304147465438;217;181:56,13:56,14:52,37:53;3
257;259;311;60.0;148;13:42,14:52,37:54;3
257;251;407;60.0;69;13:11,181:58;3
258;304;318;60.0;38;95:38;3
259;257;311;53.46938775510204;147;13:42,14:52,37:53;3
259;339;393;60.0;148;13:42,14:52,37:54;3
260;253;163;60.0;38;95:38;3
261;262;642;60.0;22;300:22;3
261;2471;1145;120.0;23;300:23;3
262;266;756;60.0;22;300:22;3
262;261;642;60.0;23;300:23;3
263;264;366;60.0;47;146:47;3
263;2057;1159;120.0;48;146:48;3
264;268;645;120.0;47;146:47;3
264;263;366;60.0;48;146:48;3
265;312;372;69.6774193548387;93;17:41,4:52;3
265;306;295;49.26315789473684;95;19:44,188:51;3
266;268;690;106.36363636363636;22;300:22;3
266;262;756;60.0;23;300:23;3
267;258;328;120.0;38;95:38;3
268;1393;9635;713.5714285714286;56;116:7,170:3,315:8,68:5,69:33;2
268;264;645;60.0;48;146:48;3
268;286;937;180.0;42;298:42;3
268;273;424;60.0;15;85:15;3
268;1592;2888;181.53846153846155;39;172:34,68:4,311:1;2
268;2316;3848;240.0;69;312:4,243:1,244:24,248:1,217:1,122:1,77:37;2
268;266;690;120.0;23;300:23;3
268;2220;3696;204.50704225352112;71;248:2,244:24,311:1,119:2,200:2,171:1,77:37,312:2;2
268;270;376;120.0;32;295:32;3
268;2417;7044;540.0;1;85:1;3
269;306;222;8.571428571428571;91;19:41,188:50;3
269;330;267;109.26315789473684;95;19:44,188:51;3
269;342;216;60.0;38;95:38;3
270;290;495;60.0;32;295:32;3
270;268;376;180.0;35;295:35;3
271;254;749;300.0;1;230:1;3
272;273;627;60.0;14;85:14;3
272;292;327;60.0;15;85:15;3
273;272;627;60.0;15;85:15;3
273;268;424;120.0;14;85:14;3
277;283;539;60.0;45;143:45;3
277;388;1054;173.1818181818182;44;143:44;3
280;257;290;57.78801843317972;217;181:58,13:53,14:52,37:54;3
